
ACCURACY of the 1th score: 0.681545636242505
PRECISION of the 1th score: 0.2
RECALL of the 1th score: 0.136309127248501
F-MEASURE of the 1th score: 0.16212361331220285
ACCURACY of the 2th score: 0.36623748211731044
PRECISION of the 2th score: 0.2
RECALL of the 2th score: 0.0732474964234621
F-MEASURE of the 2th score: 0.10722513089005234
ACCURACY of the 3th score: 0.2003610108303249
PRECISION of the 3th score: 0.2
RECALL of the 3th score: 0.04007220216606498
F-MEASURE of the 3th score: 0.06676691729323309
ACCURACY of the 4th score: 0.7366350067842605
PRECISION of the 4th score: 0.2
RECALL of the 4th score: 0.14732700135685212
F-MEASURE of the 4th score: 0.16966950543011175
ACCURACY of the 5th score: 0.7327136126321151
PRECISION of the 5th score: 0.3333333333333333
RECALL of the 5th score: 0.2442378708773717
F-MEASURE of the 5th score: 0.28191372087895933
